date [-],day ahead price [PLN/MWh],imbalance price [PLN/MWh],load forecast [MWh],load actual [MWh],biomass [MWh],fossil brown coal/lignite [MWh],fossil coal-derived gas [MWh],fossil gas [MWh],fossil hard coal [MWh],fossil oil [MWh],hydro pumped storage [MWh],hydro run-of-river and poundage [MWh],hydro water reservoir [MWh],solar [MWh],wind onshore [MWh],total generation [MWh],renewable generation [MWh],non-renewable generation [MWh],solar's share in renewable [%],solar's share in total [%],wind's share in renewable [%],wind's share in total [%],renewable's share in total [%],non-renewable's share in total [%]
2022-07-01 00:00:00+02:00,239.6,1258,18200,18100,226,4652,57,1489,8424,212,114,112,0,0,1210,16496,1436,15060,0,0,0.84,0.07,0.09,0.91
2022-07-01 01:00:00+02:00,234.96,1098.92,17300,17381,231,4605,61,1324,8492,214,4,108,0,0,1308,16347,1420,14927,0,0,0.92,0.08,0.09,0.91
2022-07-01 02:00:00+02:00,224.43,1051.37,16700,16981,234,4530,63,1731,8602,215,0,108,0,0,1375,16858,1483,15375,0,0,0.93,0.08,0.09,0.91
2022-07-01 03:00:00+02:00,224.29,1031.45,16650,16783,235,4439,63,1630,8606,215,6,108,0,0,1622,16924,1736,15188,0,0,0.93,0.1,0.1,0.9
2022-07-01 04:00:00+02:00,224.01,1015.38,16350,16507,233,4583,63,1419,8488,215,1,108,0,15,1555,16680,1679,15001,0.01,0,0.93,0.09,0.1,0.9
2022-07-01 05:00:00+02:00,203.43,952.37,17600,16891,237,4563,63,1160,8403,214,0,108,0,181,1544,16473,1833,14640,0.1,0.01,0.84,0.09,0.11,0.89
2022-07-01 06:00:00+02:00,320.51,1367.77,20600,19272,232,4809,59,1348,8917,215,0,103,0,737,1515,17935,2355,15580,0.31,0.04,0.64,0.08,0.13,0.87
2022-07-01 07:00:00+02:00,363.29,1656.52,22300,21465,224,5135,50,1390,9669,216,72,103,46,1859,910,19674,2990,16684,0.62,0.09,0.3,0.05,0.15,0.85
2022-07-01 08:00:00+02:00,360.75,1800.63,23100,22743,236,5047,39,1526,10048,216,118,103,7,3134,448,20922,3810,17112,0.82,0.15,0.12,0.02,0.18,0.82
2022-07-01 09:00:00+02:00,284.08,1328.66,23300,23095,236,5056,37,1284,9785,209,61,106,0,4095,364,21233,4626,16607,0.89,0.19,0.08,0.02,0.22,0.78
2022-07-01 10:00:00+02:00,216.65,1250,23550,23166,235,5050,39,1042,9038,207,308,109,0,4873,494,21395,5784,15611,0.84,0.23,0.09,0.02,0.27,0.73
2022-07-01 11:00:00+02:00,212.01,1191.58,23600,23473,232,4940,49,1026,9131,207,35,105,0,5386,791,21902,6317,15585,0.85,0.25,0.13,0.04,0.29,0.71
2022-07-01 12:00:00+02:00,201.9,1086.04,23750,23514,237,4846,51,994,9074,205,0,105,0,5544,1101,22157,6750,15407,0.82,0.25,0.16,0.05,0.3,0.7
2022-07-01 13:00:00+02:00,191.84,947.65,23750,23274,235,4770,51,1002,9065,207,0,106,0,5215,1462,22113,6783,15330,0.77,0.24,0.22,0.07,0.31,0.69
2022-07-01 14:00:00+02:00,181.73,832.78,23400,22969,234,4571,52,978,9137,206,0,106,0,4740,2007,22031,6853,15178,0.69,0.22,0.29,0.09,0.31,0.69
2022-07-01 15:00:00+02:00,192.31,750.89,23400,22948,236,4638,54,1000,9015,206,0,110,0,3785,2616,21660,6511,15149,0.58,0.17,0.4,0.12,0.3,0.7
2022-07-01 16:00:00+02:00,216.87,644.5,23300,23056,230,4561,54,1016,9244,205,0,110,0,3016,3340,21776,6466,15310,0.47,0.14,0.52,0.15,0.3,0.7
2022-07-01 17:00:00+02:00,250.01,644.66,23150,22384,199,4677,48,1048,9324,205,0,110,0,1683,3742,21036,5535,15501,0.3,0.08,0.68,0.18,0.26,0.74
2022-07-01 18:00:00+02:00,296.94,746.83,22950,22020,236,4755,42,1046,9152,208,78,108,0,824,3438,19887,4448,15439,0.19,0.04,0.77,0.17,0.22,0.78
2022-07-01 19:00:00+02:00,370.17,900.89,22900,22159,234,4743,39,1045,9282,210,354,122,46,406,3260,19741,4188,15553,0.1,0.02,0.78,0.17,0.21,0.79
2022-07-01 20:00:00+02:00,369.52,1100.89,22700,21764,235,4862,36,1111,9538,211,293,126,53,139,2992,19596,3603,15993,0.04,0.01,0.83,0.15,0.18,0.82
2022-07-01 21:00:00+02:00,332.21,1539.37,22500,21147,233,5043,36,1310,9552,209,299,121,7,12,2582,19404,3021,16383,0,0,0.85,0.13,0.16,0.84
2022-07-01 22:00:00+02:00,314.24,1458.88,21500,20094,237,4867,42,1222,8757,208,286,115,0,0,2723,18457,3124,15333,0,0,0.87,0.15,0.17,0.83
2022-07-01 23:00:00+02:00,250.92,838.47,20000,18584,233,4662,48,1068,7936,207,65,114,0,0,2611,16944,2790,14154,0,0,0.94,0.15,0.16,0.84
2022-07-02 00:00:00+02:00,236.36,1650.21,17700,17337,179,4275,50,1241,7284,204,317,105,0,0,2503,16158,2925,13233,0,0,0.86,0.15,0.18,0.82
2022-07-02 01:00:00+02:00,225.63,1839,16750,16674,177,4187,52,1402,7269,202,425,101,0,0,2674,16489,3200,13289,0,0,0.84,0.16,0.19,0.81
2022-07-02 02:00:00+02:00,237.2,1618.81,16200,16307,212,4156,56,1403,7266,203,162,101,0,0,2545,16104,2808,13296,0,0,0.91,0.16,0.17,0.83
2022-07-02 03:00:00+02:00,230.71,1334.09,15850,16130,238,4144,61,1463,7288,203,0,101,0,0,2508,16006,2609,13397,0,0,0.96,0.16,0.16,0.84
2022-07-02 04:00:00+02:00,222.31,1217.82,15250,15704,237,4156,61,1358,7308,202,0,101,0,22,2392,15837,2515,13322,0.01,0,0.95,0.15,0.16,0.84
2022-07-02 05:00:00+02:00,214.2,1217.82,15250,15479,233,4126,60,1385,7301,201,31,100,0,139,2337,15913,2607,13306,0.05,0.01,0.9,0.15,0.16,0.84
2022-07-02 06:00:00+02:00,233.84,1027.7,16950,16294,237,4322,53,1164,7383,202,12,100,0,420,2354,16247,2886,13361,0.15,0.03,0.82,0.14,0.18,0.82
2022-07-02 07:00:00+02:00,203.07,952.17,18250,17197,236,4276,49,891,7283,202,0,103,0,901,2005,15946,3009,12937,0.3,0.06,0.67,0.13,0.19,0.81
2022-07-02 08:00:00+02:00,177.55,829.67,19300,18167,235,4091,47,879,7438,201,0,103,0,1519,1726,16239,3348,12891,0.45,0.09,0.52,0.11,0.21,0.79
2022-07-02 09:00:00+02:00,165.59,926.51,19700,18974,234,4066,48,911,7394,201,0,104,0,2000,1795,16753,3899,12854,0.51,0.12,0.46,0.11,0.23,0.77
2022-07-02 10:00:00+02:00,171.65,900.71,20000,19279,235,3812,50,1158,7321,201,0,112,0,2563,1785,17237,4460,12777,0.57,0.15,0.4,0.1,0.26,0.74
2022-07-02 11:00:00+02:00,162.45,762.28,20000,19423,235,3851,54,917,7361,197,0,112,0,2814,1632,17173,4558,12615,0.62,0.16,0.36,0.1,0.27,0.73
2022-07-02 12:00:00+02:00,146.1,700,20000,19252,233,3776,57,900,7321,197,0,112,0,2849,1467,16912,4428,12484,0.64,0.17,0.33,0.09,0.26,0.74
2022-07-02 13:00:00+02:00,108.37,661.34,19900,19017,234,3698,64,873,7281,195,0,109,0,2844,1269,16567,4222,12345,0.67,0.17,0.3,0.08,0.25,0.75
2022-07-02 14:00:00+02:00,134.15,683,19550,18622,237,3761,67,935,7367,195,0,108,0,2943,1047,16660,4098,12562,0.72,0.18,0.26,0.06,0.25,0.75
2022-07-02 15:00:00+02:00,143.25,689.62,19300,18391,235,3718,67,910,7567,194,0,115,0,2797,800,16403,3712,12691,0.75,0.17,0.22,0.05,0.23,0.77
2022-07-02 16:00:00+02:00,178.99,900.63,19000,18133,237,3736,67,958,7556,195,114,109,0,2516,635,16123,3374,12749,0.75,0.16,0.19,0.04,0.21,0.79
2022-07-02 17:00:00+02:00,237.47,1200.4,18850,17976,236,3751,66,1172,7319,194,468,98,0,2071,510,15885,3147,12738,0.66,0.13,0.16,0.03,0.2,0.8
2022-07-02 18:00:00+02:00,263.89,1248.92,18700,18012,235,3920,68,1226,8112,190,537,100,0,1245,382,16015,2264,13751,0.55,0.08,0.17,0.02,0.14,0.86
2022-07-02 19:00:00+02:00,350,1689.43,18700,17963,235,3980,68,1279,8292,194,717,114,0,463,288,15630,1582,14048,0.29,0.03,0.18,0.02,0.1,0.9
2022-07-02 20:00:00+02:00,362.85,1779.8,18700,17836,234,3944,68,1358,8241,196,896,149,46,152,284,15568,1527,14041,0.1,0.01,0.19,0.02,0.1,0.9
2022-07-02 21:00:00+02:00,359.96,926.51,18600,17770,234,3985,68,1244,8126,198,824,143,53,15,478,15368,1513,13855,0.01,0,0.32,0.03,0.1,0.9
2022-07-02 22:00:00+02:00,340.36,1601.19,18250,17390,236,4016,67,1241,8180,198,637,113,53,0,709,15450,1512,13938,0,0,0.47,0.05,0.1,0.9
2022-07-02 23:00:00+02:00,233.27,897,17000,16228,234,3879,68,1077,7848,199,255,95,7,0,924,14586,1281,13305,0,0,0.72,0.06,0.09,0.91
2022-07-03 00:00:00+02:00,235.76,1171.1,15500,15241,235,3981,66,1078,6951,198,140,94,0,0,1031,13774,1265,12509,0,0,0.82,0.07,0.09,0.91
2022-07-03 01:00:00+02:00,164.22,595.71,14800,14489,234,4055,65,960,6415,199,3,93,0,0,1068,13092,1164,11928,0,0,0.92,0.08,0.09,0.91
2022-07-03 02:00:00+02:00,180.6,760.91,14300,14080,237,4223,62,940,6247,199,0,93,0,0,1053,13054,1146,11908,0,0,0.92,0.08,0.09,0.91
2022-07-03 03:00:00+02:00,182.98,909.79,14000,13753,234,4300,50,927,6315,199,0,93,0,0,1032,13150,1125,12025,0,0,0.92,0.08,0.09,0.91
2022-07-03 04:00:00+02:00,183.84,603.5,13500,13323,237,4258,46,909,6355,199,53,93,0,19,1093,13262,1258,12004,0.02,0,0.87,0.08,0.09,0.91
2022-07-03 05:00:00+02:00,182.71,546.03,13250,13036,236,4126,47,867,6170,196,157,94,0,160,999,13052,1410,11642,0.11,0.01,0.71,0.08,0.11,0.89
2022-07-03 06:00:00+02:00,154.09,513.72,14150,13477,235,4014,47,849,6156,198,157,96,0,661,839,13252,1753,11499,0.38,0.05,0.48,0.06,0.13,0.87
2022-07-03 07:00:00+02:00,106.29,426.27,15100,14377,226,3407,49,885,6063,197,20,96,0,1821,425,13189,2362,10827,0.77,0.14,0.18,0.03,0.18,0.82
2022-07-03 08:00:00+02:00,106.38,461.92,15950,15324,221,3250,55,893,6107,198,0,104,0,3132,222,14182,3458,10724,0.91,0.22,0.06,0.02,0.24,0.76
2022-07-03 09:00:00+02:00,93.55,431.82,16500,16075,220,3475,56,876,5891,198,0,109,0,4108,352,15285,4569,10716,0.9,0.27,0.08,0.02,0.3,0.7
2022-07-03 10:00:00+02:00,98.03,514.38,17050,16233,222,3638,56,866,5758,196,0,100,0,4622,491,15949,5213,10736,0.89,0.29,0.09,0.03,0.33,0.67
2022-07-03 11:00:00+02:00,104.85,432.52,17100,16381,221,3425,57,887,5763,196,0,99,0,4971,477,16096,5547,10549,0.9,0.31,0.09,0.03,0.34,0.66
2022-07-03 12:00:00+02:00,118.6,449.85,17100,16213,220,3338,57,879,5754,196,0,98,0,5147,427,16116,5672,10444,0.91,0.32,0.08,0.03,0.35,0.65
2022-07-03 13:00:00+02:00,95.47,423.79,17200,16164,224,3198,57,868,5736,196,0,96,0,5226,362,15963,5684,10279,0.92,0.33,0.06,0.02,0.36,0.64
2022-07-03 14:00:00+02:00,115.44,422.8,17250,16264,221,3156,54,867,5735,196,0,95,0,5246,271,15841,5612,10229,0.93,0.33,0.05,0.02,0.35,0.65
2022-07-03 15:00:00+02:00,126.36,460.85,17300,16149,219,3480,51,843,5972,196,0,95,0,4716,253,15825,5064,10761,0.93,0.3,0.05,0.02,0.32,0.68
2022-07-03 16:00:00+02:00,123.8,518.9,17350,16176,225,3742,51,822,6464,197,0,95,0,4018,247,15861,4360,11501,0.92,0.25,0.06,0.02,0.27,0.73
2022-07-03 17:00:00+02:00,170.27,544.22,17600,16570,235,3829,54,907,6579,196,0,95,0,3000,244,15139,3339,11800,0.9,0.2,0.07,0.02,0.22,0.78
2022-07-03 18:00:00+02:00,267.53,926.56,17800,16941,237,4513,57,960,7306,196,15,95,0,1705,227,15311,2042,13269,0.83,0.11,0.11,0.01,0.13,0.87
2022-07-03 19:00:00+02:00,295.09,1359.41,17900,17112,237,4775,60,1159,7771,198,497,129,0,556,254,15636,1436,14200,0.39,0.04,0.18,0.02,0.09,0.91
2022-07-03 20:00:00+02:00,340.1,1601.1,17900,17406,236,4801,62,1055,7743,198,599,139,46,249,431,15559,1464,14095,0.17,0.02,0.29,0.03,0.09,0.91
2022-07-03 21:00:00+02:00,348.43,1625.65,18100,17676,237,4843,62,1185,7724,198,524,136,53,15,783,15760,1511,14249,0.01,0,0.52,0.05,0.1,0.9
2022-07-03 22:00:00+02:00,276.39,1277.75,18100,17534,235,4964,61,1227,7802,199,204,109,52,0,1207,16060,1572,14488,0,0,0.77,0.08,0.1,0.9
2022-07-03 23:00:00+02:00,236.16,1094.3,17000,16238,235,4543,59,956,7191,198,0,96,7,0,1594,14879,1697,13182,0,0,0.94,0.11,0.11,0.89
2022-07-04 00:00:00+02:00,138.23,492.66,15850,15091,236,4418,54,855,6473,196,0,98,0,0,1932,14262,2030,12232,0,0,0.95,0.14,0.14,0.86
2022-07-04 01:00:00+02:00,168.88,485.67,15150,14644,235,4335,52,857,6370,196,0,98,0,0,2055,14198,2153,12045,0,0,0.95,0.14,0.15,0.85
2022-07-04 02:00:00+02:00,190.3,492.66,14850,14412,236,4489,52,865,6619,197,0,98,0,0,1768,14324,1866,12458,0,0,0.95,0.12,0.13,0.87
2022-07-04 03:00:00+02:00,186.03,494.65,14700,14304,235,4610,52,882,6578,196,0,98,0,0,1303,13954,1401,12553,0,0,0.93,0.09,0.1,0.9
2022-07-04 04:00:00+02:00,187.79,494.66,14600,14220,234,4632,52,874,6830,201,0,98,0,22,1085,14028,1205,12823,0.02,0,0.9,0.08,0.09,0.91
2022-07-04 05:00:00+02:00,200.49,601.26,16050,14914,236,4711,53,902,7228,197,0,97,0,175,1017,14616,1289,13327,0.14,0.01,0.79,0.07,0.09,0.91
2022-07-04 06:00:00+02:00,255.13,730.89,19450,17766,234,5021,56,1069,8521,198,4,94,0,729,778,16704,1605,15099,0.45,0.04,0.48,0.05,0.1,0.9
2022-07-04 07:00:00+02:00,297.66,1486.83,21400,20170,235,5147,55,1390,9106,198,156,94,0,1894,409,18684,2553,16131,0.74,0.1,0.16,0.02,0.14,0.86
2022-07-04 08:00:00+02:00,361.45,1662.14,22400,21512,236,5136,54,1376,9141,198,213,111,0,3096,419,19980,3839,16141,0.81,0.15,0.11,0.02,0.19,0.81
2022-07-04 09:00:00+02:00,277.46,928.55,22600,21922,237,5138,52,1070,8984,199,97,120,0,3941,500,20338,4658,15680,0.85,0.19,0.11,0.02,0.23,0.77
2022-07-04 10:00:00+02:00,255.13,928.55,22900,21958,238,5018,51,1019,8709,197,0,114,0,4545,672,20563,5331,15232,0.85,0.22,0.13,0.03,0.26,0.74
2022-07-04 11:00:00+02:00,235.58,680,23000,22266,235,4986,51,1010,8570,198,0,107,0,4801,821,20779,5729,15050,0.84,0.23,0.14,0.04,0.28,0.72
2022-07-04 12:00:00+02:00,203.05,790.91,23200,22417,235,5086,48,1031,8769,199,0,105,0,4983,769,21225,5857,15368,0.85,0.23,0.13,0.04,0.28,0.72
2022-07-04 13:00:00+02:00,187.09,601.26,23200,22599,237,4941,47,1017,8472,197,0,103,0,5325,765,21104,6193,14911,0.86,0.25,0.12,0.04,0.29,0.71
2022-07-04 14:00:00+02:00,234.03,601.26,23000,22133,236,4858,51,988,8416,198,0,103,0,4874,860,20584,5837,14747,0.84,0.24,0.15,0.04,0.28,0.72
2022-07-04 15:00:00+02:00,255.13,670.91,22850,22095,234,5006,54,1018,8389,203,124,103,0,4266,868,20265,5361,14904,0.8,0.21,0.16,0.04,0.26,0.74
2022-07-04 16:00:00+02:00,263.07,1700.89,22650,21942,240,5168,56,1247,8236,204,324,103,0,3497,871,19946,4795,15151,0.73,0.18,0.18,0.04,0.24,0.76
2022-07-04 17:00:00+02:00,339.55,2430,22450,21763,238,5155,56,1637,8150,204,210,103,0,2521,911,19185,3745,15440,0.67,0.13,0.24,0.05,0.2,0.8
2022-07-04 18:00:00+02:00,425.24,2440,22300,21407,243,5177,56,1708,8364,204,263,98,0,1311,927,18351,2599,15752,0.5,0.07,0.36,0.05,0.14,0.86
2022-07-04 19:00:00+02:00,542.25,2487.24,22250,21667,242,5109,54,1700,8599,204,775,111,35,581,658,18068,2160,15908,0.27,0.03,0.3,0.04,0.12,0.88
2022-07-04 20:00:00+02:00,530.49,2445.4,22150,21645,241,5133,53,1713,8818,205,736,117,40,242,550,17848,1685,16163,0.14,0.01,0.33,0.03,0.09,0.91
2022-07-04 21:00:00+02:00,475.06,2268.16,21850,21235,241,5042,53,1745,8915,207,704,112,40,15,665,17739,1536,16203,0.01,0,0.43,0.04,0.09,0.91
2022-07-04 22:00:00+02:00,417.15,2225.16,20950,20245,238,4986,53,1769,8360,206,217,102,5,0,826,16762,1150,15612,0,0,0.72,0.05,0.07,0.93
2022-07-04 23:00:00+02:00,375.06,2225.16,19400,18776,177,5014,51,1691,7990,204,454,102,0,0,884,16567,1440,15127,0,0,0.61,0.05,0.09,0.91
2022-07-05 00:00:00+02:00,277.89,1306.03,17850,17560,203,4774,48,1323,7948,205,189,98,0,0,1020,15808,1307,14501,0,0,0.78,0.06,0.08,0.92
2022-07-05 01:00:00+02:00,244.82,1185.98,17050,16784,240,4736,47,1098,8268,205,0,97,0,0,998,15689,1095,14594,0,0,0.91,0.06,0.07,0.93
2022-07-05 02:00:00+02:00,212.79,1134.33,16450,16360,237,4745,48,1085,8225,204,0,97,0,0,949,15590,1046,14544,0,0,0.91,0.06,0.07,0.93
2022-07-05 03:00:00+02:00,225.54,1148.32,16400,16307,235,4736,48,1070,8223,205,0,97,0,0,936,15550,1033,14517,0,0,0.91,0.06,0.07,0.93
2022-07-05 04:00:00+02:00,235.97,1143.92,16100,16119,236,4788,52,968,8064,205,0,95,0,19,961,15388,1075,14313,0.02,0,0.89,0.06,0.07,0.93
2022-07-05 05:00:00+02:00,246.33,1188.66,17050,16487,235,4921,54,982,8093,205,0,95,0,190,813,15588,1098,14490,0.17,0.01,0.74,0.05,0.07,0.93
2022-07-05 06:00:00+02:00,351.08,1692.13,20000,18784,235,5215,56,1291,9025,203,0,95,0,614,582,17316,1291,16025,0.48,0.04,0.45,0.03,0.07,0.93
2022-07-05 07:00:00+02:00,412.59,2118.53,21700,20578,235,5251,56,1225,9513,204,0,94,0,1261,261,18100,1616,16484,0.78,0.07,0.16,0.01,0.09,0.91
2022-07-05 08:00:00+02:00,412.88,2187.73,22500,21634,238,5326,55,938,9532,201,0,107,0,2020,193,18610,2320,16290,0.87,0.11,0.08,0.01,0.12,0.88
2022-07-05 09:00:00+02:00,361.82,1726.74,22600,22166,238,5339,55,878,9561,200,0,114,0,2815,243,19443,3172,16271,0.89,0.14,0.08,0.01,0.16,0.84
2022-07-05 10:00:00+02:00,309.69,1602.79,22950,22220,240,5364,55,865,9350,200,143,109,0,3196,354,19876,3802,16074,0.84,0.16,0.09,0.02,0.19,0.81
2022-07-05 11:00:00+02:00,286.61,1556.21,23100,22647,239,5494,51,876,9444,199,161,104,0,3240,489,20297,3994,16303,0.81,0.16,0.12,0.02,0.2,0.8
2022-07-05 12:00:00+02:00,296.84,1549.83,23150,22778,239,5387,51,854,9437,199,87,99,0,3126,739,20218,4051,16167,0.77,0.15,0.18,0.04,0.2,0.8
2022-07-05 13:00:00+02:00,299.51,1424,23250,22462,239,5301,47,833,9465,199,0,97,0,2948,897,20026,3942,16084,0.75,0.15,0.23,0.04,0.2,0.8
2022-07-05 14:00:00+02:00,299.18,1402.56,22900,22305,240,5257,51,825,9389,197,0,97,0,2911,1006,19973,4014,15959,0.73,0.15,0.25,0.05,0.2,0.8
2022-07-05 15:00:00+02:00,300.24,1407.17,22750,22307,240,5311,52,903,9526,197,0,96,0,2508,996,19829,3600,16229,0.7,0.13,0.28,0.05,0.18,0.82
2022-07-05 16:00:00+02:00,295.46,1431.55,22650,21932,238,5306,49,976,9596,196,0,96,0,1942,1023,19422,3061,16361,0.63,0.1,0.33,0.05,0.16,0.84
2022-07-05 17:00:00+02:00,354.42,1746.88,22550,21598,237,5306,45,1003,9767,197,0,96,0,1399,934,18984,2429,16555,0.58,0.07,0.38,0.05,0.13,0.87
2022-07-05 18:00:00+02:00,292.7,1383.89,22250,21292,239,5338,48,1006,9567,197,263,102,0,835,811,18406,2011,16395,0.42,0.05,0.4,0.04,0.11,0.89
2022-07-05 19:00:00+02:00,377.7,2086.4,22200,21443,239,5341,47,1025,9642,196,719,117,35,392,812,18565,2075,16490,0.19,0.02,0.39,0.04,0.11,0.89
2022-07-05 20:00:00+02:00,404.33,1542,22000,21447,240,5324,46,1116,9622,199,704,131,40,134,817,18373,1826,16547,0.07,0.01,0.45,0.04,0.1,0.9
2022-07-05 21:00:00+02:00,366.97,1542,21750,20909,237,5372,45,1221,9503,197,565,124,40,12,705,18021,1446,16575,0.01,0,0.49,0.04,0.08,0.92
2022-07-05 22:00:00+02:00,391.08,1886.3,20850,19859,236,5255,45,1177,8977,195,364,116,40,0,740,17145,1260,15885,0,0,0.59,0.04,0.07,0.93
2022-07-05 23:00:00+02:00,344.7,1615.42,19300,18613,236,5281,46,1091,8553,195,0,110,5,0,809,16326,924,15402,0,0,0.88,0.05,0.06,0.94
2022-07-06 00:00:00+02:00,286.86,1345.61,17700,17442,237,4920,46,1301,7956,193,143,101,0,0,907,15804,1151,14653,0,0,0.79,0.06,0.07,0.93
2022-07-06 01:00:00+02:00,268.92,1256.15,16900,16645,235,4613,51,1242,7868,193,43,101,0,0,979,15325,1123,14202,0,0,0.87,0.06,0.07,0.93
2022-07-06 02:00:00+02:00,262.79,1241.05,16300,16293,238,4646,52,1094,7789,193,0,101,0,0,913,15026,1014,14012,0,0,0.9,0.06,0.07,0.93
2022-07-06 03:00:00+02:00,256.8,1215.18,16300,16214,234,4593,55,1151,7904,193,0,101,0,0,888,15119,989,14130,0,0,0.9,0.06,0.07,0.93
2022-07-06 04:00:00+02:00,240.4,1153.76,16000,16021,235,4467,56,890,7934,194,0,101,0,14,1115,15006,1230,13776,0.01,0,0.91,0.07,0.08,0.92
2022-07-06 05:00:00+02:00,254.76,1212.78,16800,16366,236,4455,57,913,8060,195,0,99,0,103,1223,15341,1425,13916,0.07,0.01,0.86,0.08,0.09,0.91
2022-07-06 06:00:00+02:00,294.8,1394.83,19800,18447,237,4868,45,1138,8860,196,0,96,0,369,1167,16976,1632,15344,0.23,0.02,0.72,0.07,0.1,0.9
2022-07-06 07:00:00+02:00,379.34,1786.52,21450,20181,236,5096,42,1215,9303,196,184,98,0,965,997,18332,2244,16088,0.43,0.05,0.44,0.05,0.12,0.88
2022-07-06 08:00:00+02:00,380.48,1885,22300,21079,234,5038,41,1211,8944,195,640,105,0,1956,1041,19405,3742,15663,0.52,0.1,0.28,0.05,0.19,0.81
2022-07-06 09:00:00+02:00,283.15,1091.91,22400,21186,237,4938,41,999,8581,204,210,109,0,2791,1234,19344,4344,15000,0.64,0.14,0.28,0.06,0.22,0.78
2022-07-06 10:00:00+02:00,172.98,610.91,22650,21193,237,4775,41,828,8445,200,0,108,0,3598,1414,19646,5120,14526,0.7,0.18,0.28,0.07,0.26,0.74
2022-07-06 11:00:00+02:00,171.27,604.99,22850,21578,236,4853,41,726,8284,196,0,107,0,4069,1750,20262,5926,14336,0.69,0.2,0.3,0.09,0.29,0.71
2022-07-06 12:00:00+02:00,146.1,598.11,23050,21727,236,4740,40,553,8112,197,0,107,0,4077,2052,20114,6236,13878,0.65,0.2,0.33,0.1,0.31,0.69
2022-07-06 13:00:00+02:00,130.01,610.91,23150,21775,235,4806,40,558,7839,196,0,107,0,3940,2277,19998,6324,13674,0.62,0.2,0.36,0.11,0.32,0.68
2022-07-06 14:00:00+02:00,128.94,732.81,22700,21294,236,4771,40,548,7885,195,0,106,0,3682,2398,19861,6186,13675,0.6,0.19,0.39,0.12,0.31,0.69
2022-07-06 15:00:00+02:00,127.86,800.04,22550,21492,235,4872,38,550,8079,198,0,106,0,3524,2576,20178,6206,13972,0.57,0.17,0.42,0.13,0.31,0.69
2022-07-06 16:00:00+02:00,147.2,998.16,22450,21432,239,4839,29,672,8249,198,0,106,0,3066,2750,20148,5922,14226,0.52,0.15,0.46,0.14,0.29,0.71
2022-07-06 17:00:00+02:00,199.99,711.55,22250,21171,238,5090,25,614,8226,197,0,119,0,2363,2518,19390,5000,14390,0.47,0.12,0.5,0.13,0.26,0.74
2022-07-06 18:00:00+02:00,233.33,1277.13,21950,20627,238,5034,23,764,8588,196,0,122,0,1279,2198,18442,3599,14843,0.36,0.07,0.61,0.12,0.2,0.8
2022-07-06 19:00:00+02:00,316.99,1065.41,21900,20745,239,5224,20,985,9296,195,35,158,35,469,1846,18502,2543,15959,0.18,0.03,0.73,0.1,0.14,0.86
2022-07-06 20:00:00+02:00,343.29,1080.46,21700,20884,241,5297,16,859,9884,194,155,164,40,149,1420,18419,1928,16491,0.08,0.01,0.74,0.08,0.1,0.9
2022-07-06 21:00:00+02:00,323.71,998.16,21400,20645,239,5218,16,659,9875,197,96,173,40,14,1255,17782,1578,16204,0.01,0,0.8,0.07,0.09,0.91
2022-07-06 22:00:00+02:00,353.39,1124,20450,19628,239,5005,19,802,9155,197,235,167,40,0,1420,17279,1862,15417,0,0,0.76,0.08,0.11,0.89
2022-07-06 23:00:00+02:00,271.06,545.99,19000,18211,236,4782,20,650,8408,195,59,114,5,0,1571,16040,1749,14291,0,0,0.9,0.1,0.11,0.89
2022-07-07 00:00:00+02:00,198.44,595.34,17650,16930,232,4449,20,674,7534,195,0,98,0,0,1661,14863,1759,13104,0,0,0.94,0.11,0.12,0.88
2022-07-07 01:00:00+02:00,167.54,595.33,16850,16268,232,4272,23,684,7296,194,0,96,0,0,1587,14384,1683,12701,0,0,0.94,0.11,0.12,0.88
2022-07-07 02:00:00+02:00,160.01,800.89,16300,15853,231,4136,26,682,7263,195,0,96,0,0,1607,14236,1703,12533,0,0,0.94,0.11,0.12,0.88
2022-07-07 03:00:00+02:00,178.27,867.73,16250,15805,234,4291,30,683,7270,194,0,96,0,0,1630,14428,1726,12702,0,0,0.94,0.11,0.12,0.88
2022-07-07 04:00:00+02:00,160.05,859.48,16000,15550,235,4382,32,638,7218,195,0,96,0,18,1708,14522,1822,12700,0.01,0,0.94,0.12,0.13,0.87
2022-07-07 05:00:00+02:00,190.06,975,16950,15904,232,4421,32,634,7415,196,0,96,0,179,1603,14808,1878,12930,0.1,0.01,0.85,0.11,0.13,0.87
2022-07-07 06:00:00+02:00,209.74,1020,19750,17997,233,4859,34,632,8388,196,0,96,0,694,1422,16554,2212,14342,0.31,0.04,0.64,0.09,0.13,0.87
2022-07-07 07:00:00+02:00,264.06,1261.43,21250,19837,233,5125,36,636,9092,196,0,98,0,1650,1217,18283,2965,15318,0.56,0.09,0.41,0.07,0.16,0.84
2022-07-07 08:00:00+02:00,274,1082.17,22200,20652,238,4979,37,632,8892,196,0,100,0,2791,1400,19265,4291,14974,0.65,0.14,0.33,0.07,0.22,0.78
2022-07-07 09:00:00+02:00,232.38,579.13,22300,21013,238,4703,40,600,8003,195,19,105,0,3875,1964,19742,5963,13779,0.65,0.2,0.33,0.1,0.3,0.7
